file  no roots  many roots
nytt x  x
1150.firstgrammar.sci-lin.conllu	0	3
1150.homiliubok.rel-ser.conllu	3	3
1210.jartein.rel-sag.conllu	0	1
1210.thorlakur.rel-sag.conllu	0	3
1250.sturlunga.nar-sag.conllu	0	0
1250.thetubrot.nar-sag.conllu	0	0
1260.jomsvikingar.nar-sag.conllu	0	0
1270.gragas.law-law.conllu	0	1
1275.morkin.nar-his.conllu	0	5
1300.alexander.nar-sag.conllu	0	6
1310.grettir.nar-sag.conllu	0	0
1325.arni.nar-sag.conllu	0	3
1350.bandamennM.nar-sag.conllu	12	1
1350.finnbogi.nar-sag.conllu	0	1
1350.marta.rel-sag.conllu	7	3
1400.gunnar.nar-sag.conllu	0	0
1400.gunnar2.nar-sag.conllu	0	0
1400.viglundur.nar-sag.conllu	0	2
1450.bandamenn.nar-sag.conllu	0	2
1450.ectorssaga.nar-sag.conllu	0	1
1450.judit.rel-bib.conllu	1	2
1450.vilhjalmur.nar-sag.conllu	0	1
1475.aevintyri.nar-rel.conllu	17	4
1480.jarlmann.nar-sag.conllu	0	1
1525.erasmus.nar-sag.conllu	1	1
1525.georgius.nar-rel.conllu	4	2
1540.ntacts.rel-bib.conllu	0	2
1540.ntjohn.rel-bib.conllu	0	6
1593.eintal.rel-oth.conllu	9	10
1611.okur.rel-oth.conllu	2	5
1628.olafuregils.bio-tra.conllu	0	5
1630.gerhard.rel-oth.conllu	1	2
1650.illugi.nar-sag.conllu	6	1
1659.pislarsaga.bio-aut.conllu	0	0
1661.indiafari.bio-tra.conllu	0	5
1675.armann.nar-fic.conllu	0	6
1675.magnus.bio-oth.conllu	0	0
1675.modars.nar-fic.conllu	0	0
1680.skalholt.nar-rel.conllu	1	1
1720.vidalin.rel-ser.conllu	0	8
1725.biskupasogur.nar-rel.conllu	0	9
1745.klim.nar-fic.conllu	0	5
1790.fimmbraedra.nar-sag.conllu	24	3
1791.jonsteingrims.bio-aut.conllu	0	1
1830.hellismenn.nar-sag.conllu	2	2
1835.jonasedli.sci-nat.conllu	0	0
1850.piltur.nar-fic.conllu	0	2
1859.hugvekjur.rel-ser.conllu	1	16
1861.orrusta.nar-fic.conllu	0	2
1882.torfhildur.nar-fic.conllu	0	4
1883.voggur.nar-fic.conllu	0	0
1888.grimur.nar-fic.conllu	0	3
1888.vordraumur.nar-fic.conllu	3	0
1902.fossar.nar-fic.conllu	1	13
1907.leysing.nar-fic.conllu	2	5
1908.ofurefli.nar-fic.conllu	1	20
1920.arin.rel-ser.conllu	0	12
1985.margsaga.nar-fic.conllu	12	13
1985.sagan.nar-fic.conllu	7	14
2008.mamma.nar-fic.conllu	2	8
2008.ofsi.nar-sag.conllu	8	7
gamalt  x x
